"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1_2021","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"CN-Dan","GRA",91.0664,30.4978,"GRA",0,0,0,0,0,0,0,0,0,66.7291666666667,0,0,0,0,6.06944444444444,27.2013888888889,0
"CN-Din","EBF",112.5361,23.1733,"EBF",0,37.0625,0,0,0.00694444444444444,0,0,24.8125,28.9930555555556,2.375,1.29861111111111,0.104166666666667,3.66666666666667,0.111111111111111,0,0,1.56944444444444
"CN-Du2","GRA",116.2836,42.0467,"GRA",0,0,0,0.256944444444444,0.826388888888889,0,0,1.13888888888889,0.0138888888888889,94.0694444444445,0.0277777777777778,3.45833333333333,0.201388888888889,0,0,0.00694444444444444,0
"CN-Ha2","WET",101.3269,37.6086,"GRA",0,0,0,0,0,0,0,0,0.131944444444444,85.8888888888889,0.194444444444444,4.48611111111111,0.0416666666666667,0,0.111111111111111,8.90972222222222,0.236111111111111
"CN-HaM","GRA",101.18,37.37,"GRA",0,0,0,0,0,0,0,0,0.00694444444444444,88.375,0.0277777777777778,1.89583333333333,0.152777777777778,0,0.00694444444444444,2.0625,7.47222222222222
"CN-Qia","ENF",115.0581,26.7414,"MF",0.00694444444444444,16.0694444444444,0,0,5.73611111111111,0,0,29.3263888888889,32.9375,2.53472222222222,0.4375,8.25,1.17361111111111,2.48611111111111,0,0,1.04166666666667
"CN-Sw2","GRA",111.8971,41.7902,"GRA",0,0,0,0,0,0,0,0,0,99.0069444444444,0,0.722222222222222,0.270833333333333,0,0,0,0
"CZ-wet","WET",14.7704,49.0247,"SAV",9.57638888888889,0,0,0.0833333333333333,13.3819444444444,0,0,6.97916666666667,10.1041666666667,7.44444444444444,0.715277777777778,45.3541666666667,1.90277777777778,4.35416666666667,0,0,0.104166666666667
"DE-Akm","WET",13.6834,53.8662,"URB",9.09027777777778,0,0.0625,0.916666666666667,11.2638888888889,0,0,4.09722222222222,9.59027777777778,8.66666666666667,2.02777777777778,29.3819444444444,1.70833333333333,2.28472222222222,0,0.0138888888888889,20.8958333333333
"DE-Geb","CRO",10.9143,51.1001,"CRO",0,0,0,7.625,4.61805555555556,0,0,1.48611111111111,1.11111111111111,3.01388888888889,0.201388888888889,76.8194444444444,4.05555555555556,0.986111111111111,0,0,0.0833333333333333
"DE-Gri","GRA",13.5126,50.95,"SAV",5.96527777777778,0,0,8.65972222222222,20.4791666666667,0,0,8.82638888888889,16.3888888888889,12.2152777777778,0.305555555555556,16.4097222222222,8.72222222222222,2.02083333333333,0,0.00694444444444444,0
"DE-Hai","DBF",10.453,51.0792,"DBF",0,0,0,7.625,4.61805555555556,0,0,1.48611111111111,1.11111111111111,3.01388888888889,0.201388888888889,76.8194444444444,4.05555555555556,0.986111111111111,0,0,0.0833333333333333
"DE-Kli","CRO",13.5224,50.8931,"CRO",5.96527777777778,0,0,8.65972222222222,20.4791666666667,0,0,8.82638888888889,16.3888888888889,12.2152777777778,0.305555555555556,16.4097222222222,8.72222222222222,2.02083333333333,0,0.00694444444444444,0
"DE-Lkb","ENF",13.3047,49.0996,"SAV",16.9027777777778,0,0,1.20833333333333,27.2083333333333,0,0,10.0138888888889,7.28472222222222,1.91666666666667,0.0347222222222222,23.3472222222222,1.17361111111111,10.9097222222222,0,0,0
"DE-Obe","ENF",13.7213,50.7867,"ENF",5.96527777777778,0,0,8.65972222222222,20.4791666666667,0,0,8.82638888888889,16.3888888888889,12.2152777777778,0.305555555555556,16.4097222222222,8.72222222222222,2.02083333333333,0,0.00694444444444444,0
"DE-RuR","GRA",6.3041,50.6219,"SAV",1.90277777777778,0,0,0.256944444444444,16.3333333333333,0,0,2.80555555555556,18.6597222222222,8.15972222222222,0.125,22.0486111111111,21.9444444444444,7.66666666666667,0,0,0.0972222222222222
"DE-RuS","CRO",6.4472,50.8659,"URB",0.597222222222222,0,0,0.770833333333333,18.6666666666667,0,0.0347222222222222,4.02777777777778,7.86805555555556,4.53472222222222,0.194444444444444,32.5694444444444,28.6805555555556,1.61111111111111,0,0,0.444444444444444
"DE-Seh","CRO",6.4497,50.8706,"CRO",0.597222222222222,0,0,0.770833333333333,18.6666666666667,0,0.0347222222222222,4.02777777777778,7.86805555555556,4.53472222222222,0.194444444444444,32.5694444444444,28.6805555555556,1.61111111111111,0,0,0.444444444444444
"DE-SfN","WET",11.3275,47.8064,"WSA",6.02083333333333,0,0,0.194444444444444,42.0416666666667,0,0,15.7083333333333,14.1180555555556,15.9791666666667,0.3125,0.840277777777778,2.84722222222222,0.0555555555555556,0,0,1.88194444444444
"DE-Spw","WET",14.0337,51.8923,"DBF",29.2430555555556,0,0,1.11805555555556,1.88194444444444,0.00694444444444444,0,14.1666666666667,19.5694444444444,14.5763888888889,1.40972222222222,8.97222222222222,5.45833333333333,1.70833333333333,0,0.111111111111111,1.77777777777778
"DE-Tha","ENF",13.5652,50.9624,"MF",5.96527777777778,0,0,8.65972222222222,20.4791666666667,0,0,8.82638888888889,16.3888888888889,12.2152777777778,0.305555555555556,16.4097222222222,8.72222222222222,2.02083333333333,0,0.00694444444444444,0
"DK-Fou","CRO",9.5872,56.4842,"CVM",3.77777777777778,0,0,0.00694444444444444,11.8958333333333,0,0,0.375,21.0902777777778,5.11111111111111,0.180555555555556,44.3402777777778,1.25694444444444,10.7569444444444,0,0,1.20833333333333
"GL-NuF","WET",-51.3861,64.1308,"GRA",0.00694444444444444,0,0,0,0,0,0,0,0.0347222222222222,46.3472222222222,3.79166666666667,0,0,0,0.159722222222222,17,32.6597222222222
"DK-Sor","DBF",11.6446,55.4859,"CVM",0.0555555555555556,0,0,0.0277777777777778,3.6875,0,0,0.111111111111111,3.79861111111111,3.72916666666667,2.13888888888889,56.4722222222222,1.54861111111111,2.00694444444444,0,0,26.4236111111111
"GL-ZaF","WET",-20.5545,74.4814,"GRA",0,0,0,0,0,0,0,0,0,5.08333333333333,0.0555555555555556,0,0,0,11.1111111111111,13.4027777777778,70.3472222222222
"GL-ZaH","GRA",-20.5503,74.4733,"GRA",0,0,0,0.00694444444444444,0,0,0,0,0,21.1388888888889,0.486111111111111,0,0,0,16.6180555555556,25.1805555555556,36.5694444444444
"ES-LgS","OSH",-2.9658,37.0979,"SAV",0.951388888888889,0,0,0,0,0.472222222222222,32.9513888888889,0.666666666666667,22.4305555555556,33.4444444444444,2.65972222222222,0.625,5.38194444444444,0,0,0.416666666666667,0
"ES-Ln2","OSH",-3.4758,36.9695,"SAV",0.305555555555556,0,0,0,0,0.25,1.26388888888889,0.645833333333333,29.8055555555556,15.3333333333333,0.243055555555556,1.44444444444444,4.70833333333333,0.0347222222222222,0,0.104166666666667,45.8611111111111
"FI-Hyy","ENF",24.2948,61.8474,"ENF",57.4861111111111,0,0,0,12.1666666666667,0,0,16.9930555555556,0.111111111111111,1.77083333333333,1.20833333333333,0,0.326388888888889,0,0,0,9.9375
"FI-Jok","CRO",23.5135,60.8986,"SAV",8.6875,0,0,0,3.45138888888889,0,0,30.6944444444444,17.1111111111111,39.7291666666667,0.0972222222222222,0.173611111111111,0.0486111111111111,0,0,0,0.00694444444444444
"FI-Lom","WET",24.2092,67.9972,"WSA",0.0833333333333333,0,0,0,0.291666666666667,0,0.347222222222222,68.0486111111111,29.2291666666667,0.715277777777778,0.270833333333333,0,0,0,0,0,1.01388888888889
"FI-Sod","ENF",26.6386,67.3624,"SAV",0.111111111111111,0,0,0,0.104166666666667,0,0.0763888888888889,74,24.5555555555556,0.256944444444444,0.131944444444444,0,0,0,0,0,0.763888888888889
"FR-Fon","DBF",2.7801,48.4764,"DBF",0.298611111111111,0.00694444444444444,0,2.25,12.0902777777778,0,0,4.47916666666667,1.54166666666667,3.68055555555556,0.263888888888889,71.1805555555556,2.125,2,0,0,0.0833333333333333
"FR-LBr","ENF",-0.7693,44.7171,"WSA",22.4652777777778,3.02777777777778,0,0.00694444444444444,4.65277777777778,0,0,28.6875,4.30555555555556,2.61805555555556,1.27777777777778,0.826388888888889,1.92361111111111,0,0,0.0555555555555556,30.1527777777778
"FR-Pue","EBF",3.5957,43.7413,"ENF",6.15277777777778,2.38888888888889,0,0.493055555555556,3.17361111111111,0,0,30.3819444444444,32.6180555555556,8.625,0.645833333333333,3.52083333333333,7,0.263888888888889,0,0.152777777777778,4.58333333333333
"GF-Guy","EBF",-52.9249,5.2788,"EBF",0,70.4722222222222,0,0.00694444444444444,0,0,0,7.40277777777778,0.791666666666667,1.52777777777778,2.86805555555556,0,0.166666666666667,0,0,0,16.7638888888889
"IT-BCi","CRO",14.9574,40.5238,"CRO",0.0347222222222222,0.451388888888889,0,15.8611111111111,0.3125,0,0,9.99305555555556,27.4583333333333,0.638888888888889,0.159722222222222,8.97222222222222,11.3819444444444,7.36805555555556,0,0,17.3680555555556
"IT-CA1","DBF",12.0266,42.3804,"CRO",0.00694444444444444,1.1875,0,2.20138888888889,0.736111111111111,0,0,3.61111111111111,20.8263888888889,1.86805555555556,0.256944444444444,36.0277777777778,1.25694444444444,4.33333333333333,0,0.0138888888888889,27.6736111111111
"IT-CA2","CRO",12.026,42.3772,"CRO",0.00694444444444444,1.1875,0,2.20138888888889,0.736111111111111,0,0,3.61111111111111,20.8263888888889,1.86805555555556,0.256944444444444,36.0277777777778,1.25694444444444,4.33333333333333,0,0.0138888888888889,27.6736111111111
"IT-CA3","DBF",12.0222,42.38,"CRO",0.00694444444444444,1.1875,0,2.20138888888889,0.736111111111111,0,0,3.61111111111111,20.8263888888889,1.86805555555556,0.256944444444444,36.0277777777778,1.25694444444444,4.33333333333333,0,0.0138888888888889,27.6736111111111
"IT-Col","DBF",13.5881,41.8494,"DBF",0.263888888888889,0.159722222222222,0,13.9305555555556,1.19444444444444,0,0,13.125,35.4513888888889,20.7777777777778,0.0486111111111111,4.02083333333333,0.25,10.7638888888889,0,0,0.0138888888888889
"IT-Cp2","EBF",12.3573,41.7043,"EBF",0.784722222222222,0.680555555555555,0,0.388888888888889,0.458333333333333,0,0,0.173611111111111,12.5763888888889,1.52777777777778,0.222222222222222,27.1597222222222,16.9583333333333,3.13888888888889,0,0.00694444444444444,35.9236111111111
"IT-Cpz","EBF",12.3761,41.7053,"EBF",0.784722222222222,0.680555555555555,0,0.388888888888889,0.458333333333333,0,0,0.173611111111111,12.5763888888889,1.52777777777778,0.222222222222222,27.1597222222222,16.9583333333333,3.13888888888889,0,0.00694444444444444,35.9236111111111
"IT-Isp","DBF",8.6336,45.8126,"WSA",0.215277777777778,0,0,18.7638888888889,5.15972222222222,0,0,13.1944444444444,15.2291666666667,0.944444444444444,1.17361111111111,5.35416666666667,34.2291666666667,2.34722222222222,0,0.0625,3.32638888888889
"IT-La2","ENF",11.2853,45.9542,"MF",1.52083333333333,0,0,26.0138888888889,10.75,0,0,20.4166666666667,22.2916666666667,5.20138888888889,0.1875,3.03472222222222,5.20138888888889,3.125,0,0,2.25694444444444
"IT-Lav","ENF",11.2813,45.9562,"MF",1.52083333333333,0,0,26.0138888888889,10.75,0,0,20.4166666666667,22.2916666666667,5.20138888888889,0.1875,3.03472222222222,5.20138888888889,3.125,0,0,2.25694444444444
"IT-MBo","GRA",11.0458,46.0147,"GRA",16.9861111111111,0,0,9.24305555555556,22.625,0,0,21.1944444444444,4.63888888888889,15.1041666666667,0.0833333333333333,5.68055555555556,3.22222222222222,0.777777777777778,0.0208333333333333,0.368055555555556,0.0555555555555556
"IT-Noe","CSH",8.1512,40.6062,"ENF",0.694444444444444,1.92361111111111,0,0.104166666666667,1.05555555555556,0,0,0.604166666666667,6.38888888888889,8.63194444444444,2.14583333333333,16.0416666666667,1.36805555555556,0.0208333333333333,0,0.0486111111111111,60.9722222222222
"IT-PT1","DBF",9.061,45.2009,"CRO",0,0,0,0.625,0,0,0,0.0347222222222222,2.38888888888889,0.861111111111111,0.0277777777777778,78.1875,16.2361111111111,1.58333333333333,0,0,0.0555555555555556
"IT-Ren","ENF",11.4337,46.5869,"ENF",18.4791666666667,0,0,1.45138888888889,11.3194444444444,0,0,17.8125,6.16666666666667,36.1805555555556,0.0416666666666667,1.3125,1.1875,0.0416666666666667,1.02083333333333,4.98611111111111,0
"IT-Ro1","DBF",11.93,42.4081,"WSA",0.00694444444444444,1.1875,0,2.20138888888889,0.736111111111111,0,0,3.61111111111111,20.8263888888889,1.86805555555556,0.256944444444444,36.0277777777778,1.25694444444444,4.33333333333333,0,0.0138888888888889,27.6736111111111
"IT-Ro2","DBF",11.9209,42.3903,"SAV",0.00694444444444444,1.1875,0,2.20138888888889,0.736111111111111,0,0,3.61111111111111,20.8263888888889,1.86805555555556,0.256944444444444,36.0277777777778,1.25694444444444,4.33333333333333,0,0.0138888888888889,27.6736111111111
"IT-SR2","ENF",10.291,43.732,"EBF",1.24305555555556,1.25694444444444,0,1.38194444444444,2.15972222222222,0,0,2.43055555555556,4.70138888888889,0.430555555555556,0.513888888888889,1.02083333333333,2.56944444444444,0.493055555555556,0,0.0208333333333333,81.7777777777778
"IT-SRo","ENF",10.2844,43.7279,"ENF",1.24305555555556,1.25694444444444,0,1.38194444444444,2.15972222222222,0,0,2.43055555555556,4.70138888888889,0.430555555555556,0.513888888888889,1.02083333333333,2.56944444444444,0.493055555555556,0,0.0208333333333333,81.7777777777778
"IT-Tor","GRA",7.5781,45.8444,"GRA",4.86805555555556,0,0,3.92361111111111,3.44444444444444,0,0,12.9513888888889,6.26388888888889,46.8402777777778,0.0625,0.111111111111111,1.01388888888889,0,4.56944444444444,15.9513888888889,0
"JP-MBF","DBF",142.3186,44.3869,"WSA",0.340277777777778,0,0.0555555555555556,38,17.8888888888889,0.145833333333333,0,13.9027777777778,0.8125,8.50694444444444,0.125,0.625,0.805555555555556,0.0486111111111111,0,0,18.7430555555556
"JP-SMF","MF",137.0788,35.2617,"ENF",7.0625,0.0208333333333333,0,2.77777777777778,17.0694444444444,0,0,6.42361111111111,7.75,0.541666666666667,0.340277777777778,3.42361111111111,49.6527777777778,3.41666666666667,0,0.00694444444444444,1.51388888888889
"NL-Hor","GRA",5.0713,52.2404,"GRA",0.5,0,0,0.131944444444444,10.5347222222222,0,0,0.75,29.3541666666667,14.1805555555556,1.65972222222222,11.7847222222222,16.8333333333333,2.90972222222222,0,0.00694444444444444,11.3541666666667
"SJ-Adv","WET",15.923,78.186,"GRA",0,0,0,0,0,0,0,0,0,24.3402777777778,0.736111111111111,0,0.805555555555556,0,6.59722222222222,33.9513888888889,33.5694444444444
"SJ-Blv","SNO",11.8311,78.9216,"GRA",0,0,0,0,0,0,0,0,0,3.67361111111111,0.840277777777778,0,0.131944444444444,0,18.1527777777778,20.3055555555556,56.8958333333333
"RU-Che","WET",161.3414,68.613,"OSH",0.0347222222222222,0,0.1875,0,0,0,75.8402777777778,0.583333333333333,4.48611111111111,3.42361111111111,9.93055555555556,0,0,0,0.0694444444444444,0,5.44444444444444
"RU-Cok","OSH",147.4943,70.8291,"OSH",0,0,0,0,0,0,77.0416666666667,0,0,5.15972222222222,6.00694444444444,0,0,0,0,0.0486111111111111,11.7430555555556
"RU-Fyo","ENF",32.9221,56.4615,"MF",0.222222222222222,0,0,5.55555555555556,81.7013888888889,0,0,6.65972222222222,2.92361111111111,1.98611111111111,0.6875,0.0138888888888889,0.194444444444444,0.0555555555555556,0,0,0
"RU-Ha1","GRA",90.0022,54.7252,"GRA",0.0694444444444444,0,0.208333333333333,9.54166666666667,13.2430555555556,0,0,8.15972222222222,3.89583333333333,58.4027777777778,0.229166666666667,5.46527777777778,0,0,0,0.0694444444444444,0.715277777777778
"SD-Dem","SAV",30.4783,13.2829,"GRA",0,0,0,0,0,0,0,0,0,99.3680555555556,0,0,0.319444444444444,0.0625,0,0.25,0
"SN-Dhr","SAV",-15.4322,15.4028,"GRA",0,0,0,0,0,0,0,0,0,99.9166666666667,0,0,0.0833333333333333,0,0,0,0
"US-AR1","GRA",-99.42,36.4267,"GRA",0,0,0,0,0,0,0,0,0.0138888888888889,95.0763888888889,0.402777777777778,3.47222222222222,0.381944444444444,0,0,0.0416666666666667,0.611111111111111
"US-AR2","GRA",-99.5975,36.6358,"GRA",0,0,0,0,0,0,0,0,0,99.6041666666667,0.0208333333333333,0.236111111111111,0.0972222222222222,0,0,0.0277777777777778,0.0138888888888889
